3189;03187;6309;6641574
65021;65046;8010;9121368
8714;08816;5732;5851511
65023;65011;8012;9122266
8103;50097;7126;7641746
9208;08692;5733;5852029
65023;65011;8012;9122267
8103;50097;7126;7641745
9208;08692;5733;5852028
65023;65011;8012;9122268
8103;50097;7126;7641744
9208;08692;5733;5852027
8103;50097;7126;7641743
9208;08692;5733;5852026
65023;65011;8012;9122270
65025;65034;8014;9123498
60417;60405;8402;9641427
8816;08813;5735;5853131
65025;65034;8014;9123499
60417;60405;8402;9641428
8816;08813;5735;5853132
65025;65034;8014;9123500
60417;60405;8402;9641429
8816;08813;5735;5853133
60417;60405;8402;9641430
8816;08813;5735;5853134
16045;16029;1319;1642627
65020;65023;8016;9124462
9019;09244;5737;5854376
16045;16029;1319;1642626
65020;65023;8016;9124463
9019;09244;5737;5854377
16045;16029;1319;1642625
65020;65023;8016;9124464
9019;09244;5737;5854340
16045;16029;1319;1642624
65020;65023;8016;9124465
9019;09244;5737;5854339
65034;65052;8017;9124848
8749;08710;5741;5856382
65034;65052;8017;9124941
6821;06757;4618;4642645
8749;08710;5741;5856383
65034;65052;8017;9124942
6821;06757;4618;4642646
8749;08710;5741;5856384
65034;65052;8017;9124943
6821;06757;4618;4642647
8749;08710;5741;5856385
6821;06757;4618;4642648
65034;65052;8017;9124944
65037;65040;8018;9125703
8733;54295;5097;5642038
54267;09365;5744;5857692
65037;65040;8018;9125704
8733;54295;5097;5642037
54267;09365;5744;5857693
65037;65040;8018;9125705
8733;54295;5097;5642036
54267;09365;5744;5857694
65040;65024;8019;9126161
3205;03205;6312;6642764
9346;54155;5746;5858748
65040;65024;8019;9126162
3205;03205;6312;6642765
9346;54155;5746;5858749
65040;65024;8019;9126163
3205;03205;6312;6642766
9346;54155;5746;5858750
65048;65015;8020;9126446
8149;08201;7131;7642454
8676;08754;5748;5859854
65048;65015;8020;9126447
8201;50350;7132;7642924
8676;08754;5748;5859855
65048;65015;8020;9126448
8201;50350;7132;7642925
8676;08754;5748;5859856
60453;60492;8406;9643031
75005;65021;8022;9127538
8537;54072;5751;5861554
60453;60492;8406;9643032
75005;65021;8022;9127539
8537;54072;5751;5861555
8537;54072;5751;5861877
4186;03903;2089;2643337
65047;65270;8024;9128604
8537;54072;5751;5861878
4186;03903;2089;2643338
65047;65270;8024;9128605
65316;65272;8026;9129623
65316;65272;8026;9129628
6771;06701;4625;4643422
8540;08779;5752;5862398
8828;09221;5753;5863064
65274;65301;8027;9130082
55091;09132;5100;5643130
65277;65282;8029;9131109
9161;08892;5754;5863715
3223;03223;6316;6643535
9007;08540;5755;5864357
65279;65285;8030;9131381
54213;08537;5756;5864796
3226;03231;6318;6644076
65301;65268;8031;9131835
54213;08537;5756;5864797
3226;03231;6318;6644077
65301;65268;8031;9131836
3226;03231;6318;6643755
50071;08149;7133;7643136
65319;65281;8032;9132309
54213;08537;5756;5865144
50071;08149;7133;7643137
65319;65281;8032;9132310
54213;08537;5756;5865145
54072;09117;5757;5865618
75202;65267;8033;9132990
8115;50061;7135;7643399
54072;09117;5757;5865619
75202;65267;8033;9132991
8158;50392;7136;7643512
16381;03748;1322;1644443
16381;03748;1322;1644522
65288;65277;8035;9133681
8903;08863;5759;5866789
16381;03748;1322;1644523
65288;65277;8035;9133682
8903;08863;5759;5866790
4221;04038;2091;2644423
8881;54174;5760;5867515
65280;65288;8036;9134222
4221;04038;2091;2644424
8881;54174;5760;5867516
65280;65288;8036;9134223
8926;08676;5761;5868182
6716;06778;4639;4644208
65323;65320;8038;9134857
8926;08676;5761;5868183
6716;06778;4639;4644207
65323;65320;8038;9134858
9018;08536;5762;5868835
65344;75408;8044;9137504
54127;54103;5768;5871818
60470;60417;8417;9647228
8084;52042;7208;7648784
54480;08992;5115;5649471
6600640;6600640
6600000;6600000
6600128;6600128
6600384;6600384
6600256;6600256
6600512;6600512
6600768;6600768
6600129;6600129
6600001;6600001
6600641;6600641
6600769;6600769
6600513;6600513
6600770;6600770
6600642;6600642
6600385;6600385
6600002;6600002
6600130;6600130
6600386;6600386
6600643;6600643
6600771;6600771
6600514;6600514
6600257;6600257
6600772;6600772
6600644;6600644
6600387;6600387
6600131;6600131
6600003;6600003
6600388;6600388
6600645;6600645
6600773;6600773
6600258;6600258
6600515;6600515
6600774;6600774
6600646;6600646
6600389;6600389
6600004;6600004
6600132;6600132
6600390;6600390
6600647;6600647
6600775;6600775
6600516;6600516
6600259;6600259
6600776;6600776
6600648;6600648
6600391;6600391
6600133;6600133
6600005;6600005
6600392;6600392
6600649;6600649
6600777;6600777
6600260;6600260
6600517;6600517
6600778;6600778
6600650;6600650
6600393;6600393
6600006;6600006
6600134;6600134
6600394;6600394
6600651;6600651
6600779;6600779
6600518;6600518
6600261;6600261
6600780;6600780
6600652;6600652
6600395;6600395
6600135;6600135
6600007;6600007
6600396;6600396
6600653;6600653
6600781;6600781
6600262;6600262
6600519;6600519
6600782;6600782
6600654;6600654
6600397;6600397
6600008;6600008
6600136;6600136
6600398;6600398
6600655;6600655
6600783;6600783
6600520;6600520
6600263;6600263
6600784;6600784
6600656;6600656
6600399;6600399
6600137;6600137
6600009;6600009
6600400;6600400
6600657;6600657
6600785;6600785
6600264;6600264
6600521;6600521
6600786;6600786
6600658;6600658
6600401;6600401
6600010;6600010
6600138;6600138
6600402;6600402
6600659;6600659
6600787;6600787
6600522;6600522
6600265;6600265
6600788;6600788
6600660;6600660
6600403;6600403
6600139;6600139
6600011;6600011
6600404;6600404
6600661;6600661
6600789;6600789
6600266;6600266
6600523;6600523
6600790;6600790
6600662;6600662
6600405;6600405
6600012;6600012
6600140;6600140
6600406;6600406
6600663;6600663
6600791;6600791
6600524;6600524
6600267;6600267
6600792;6600792
6600664;6600664
6600407;6600407
6600141;6600141
6600013;6600013
6600408;6600408
6600665;6600665
6600268;6600268
6600525;6600525
6600666;6600666
6600793;6600793
6600409;6600409
6600014;6600014
6600142;6600142
6600410;6600410
6600794;6600794
6600667;6600667
6600526;6600526
6600269;6600269
6600668;6600668
6600795;6600795
6600411;6600411
6600143;6600143
6600015;6600015
6600796;6600796
6600669;6600669
6600270;6600270
6600527;6600527
6600670;6600670
6600797;6600797
6600412;6600412
6600016;6600016
6600798;6600798
6600671;6600671
6600528;6600528
