72657;72658;8843;9110045
72658;72657;8844;9110584
72658;72657;8844;9111025
72659;72663;8845;9111270
72660;72660;8846;9111760
72675;72774;8852;9111809
72661;72672;8847;9111858
72663;72698;8848;9111956
72663;72698;8848;9112005
72667;72688;8849;9112544
72672;72661;8850;9112593
72673;72673;8851;9112691
72675;72653;8852;9112936
72675;72653;8852;9113034
72677;72713;8853;9113377
72678;72702;8854;9113671
72688;72667;8855;9113818
72691;72691;8856;9113867
72702;72678;8858;9113916
72702;72678;8858;9114014
72709;72659;8859;9114161
72712;72712;8861;9114749
72723;72723;8862;9114847
72620;72620;8866;9114896
72743;72743;8867;9114945
72585;72588;8870;9114994
72585;72588;8870;9115043
65001;65002;8001;9117003
65002;65004;8002;9117689
65004;65001;8003;9118032
65005;65014;8004;9118571
65005;90000;8004;9119012
65011;65020;8005;9119061
65008;65005;8006;9119551
65014;65013;8007;9119992
65014;65013;8007;9120041
65015;65007;8008;9120335
65018;65033;8009;9120825
65018;65037;8009;9121021
65021;65046;8010;9121266
65019;65008;8011;9121756
65019;65050;8011;9122001
65023;65011;8012;9122246
65024;65019;8013;9122785
65024;65026;8013;9123030
65025;65034;8014;9123471
65026;65028;8015;9123961
65026;65028;8015;9124010
65020;65023;8016;9124353
65034;65052;8017;9124843
65034;65054;8017;9125039
65037;65040;8018;9125431
65040;65024;8019;9125872
65040;65024;8019;9126019
65048;65015;8020;9126313
65058;65017;8021;9126803
65058;75011;8021;9127048
75005;65021;8022;9127440
65027;65022;8023;9128028
65047;65270;8024;9128567
65269;65047;8025;9129008
65316;65272;8026;9129498
65274;65301;8027;9129988
65274;65301;8027;9130037
65268;65271;8028;9130478
65277;65282;8029;9130968
65277;65282;8029;9131017
65279;65285;8030;9131409
65301;65268;8031;9131752
65301;65268;8031;9132046
65319;65281;8032;9132291
75202;65267;8033;9132781
75202;65267;8033;9133026
75204;65269;8034;9133222
65288;65277;8035;9133663
65280;65288;8036;9134055
65320;65324;8037;9134447
65323;65320;8038;9134741
65323;65332;8038;9135035
65324;65323;8039;9135182
65332;65328;8040;9135623
65332;75301;8040;9136015
65337;65326;8041;9136064
65338;65327;8042;9136505
65340;75401;8043;9136995
65340;75401;8043;9137044
65344;75408;8044;9137485
65346;65347;8045;9137926
65346;65347;8045;9138024
65352;65354;8046;9138465
65353;65356;8047;9139004
65354;65353;8048;9139494
65355;65336;8049;9139984
65355;65351;8049;9140033
65356;65338;8050;9140425
65363;65343;8051;9140768
65363;65457;8051;9141013
65367;65348;8052;9141209
75415;65335;8053;9141699
65350;65345;8054;9142091
75525;65470;8058;9142532
75413;75419;8055;9142581
75413;90000;8055;9143022
75421;65349;8056;9143218
75525;65367;8058;9143610
75525;90000;8058;9144002
65377;65379;8059;9144149
65381;65390;8060;9144688
65381;75403;8060;9145031
65387;65383;8061;9145178
65419;65474;8062;9145766
65419;90000;8062;9146011
65389;65404;8063;9146207
65392;65395;8064;9146746
65392;65420;8064;9147040
65393;65394;8065;9147334
65394;65392;8066;9147775
65394;65392;8066;9148020
65395;65393;8067;9148167
65400;65377;8068;9148461
65401;65403;8069;9148755
65401;65466;8069;9149000
65404;65415;8070;9149147
65405;65388;8071;9149343
65406;65400;8072;9149735
65406;65407;8072;9150029
65407;65391;8073;9150078
65409;65381;8074;9150519
65413;65417;8075;9150911
65413;65417;8075;9151009
65414;65401;8076;9151352
65415;65382;8077;9151646
65415;65446;8077;9152038
65417;65346;8078;9152087
65478;65419;8079;9152577
65439;65410;8080;9152969
65439;65410;8080;9153018
65440;65431;8081;9153312
65451;65384;8082;9153704
65451;65452;8082;9154047
65453;65451;8083;9154243
